id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
170,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:20.431,866900000,12,15,1032,4/5,125000,111111,IIQo
171,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:21.225,866900000,12,15,1032,4/5,125000,111112,IIQo
172,"",[],34509,t,f,t,2020-04-14 20:58:21.401,866900000,12,15,901,4/5,125000,111118,ZsxG
173,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:22.068,866900000,12,15,901,4/5,125000,111119,UaIp
174,"",[],34509,t,f,t,2020-04-14 20:58:25.366,866900000,12,14,901,4/5,125000,111113,m74Y
175,"",[],34509,t,f,t,2020-04-14 20:58:26.222,866900000,12,14,901,4/5,125000,111115,m74Y
176,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:26.647,866900000,12,15,1032,4/5,125000,111117,FwLH
177,"",[],34509,t,f,t,2020-04-14 20:58:28.802,866900000,12,15,901,4/5,125000,111116,Q34O
178,"",[],34509,t,f,t,2020-04-14 20:58:29.163,866900000,12,14,901,4/5,125000,111114,m74Y
179,"",[],34509,t,f,t,2020-04-14 20:58:31.335,866900000,12,15,901,4/5,125000,111120,Q34O
180,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:33.179,866900000,12,15,901,4/5,125000,111111,VtLc
181,"",[],34509,t,f,t,2020-04-14 20:58:33.648,866900000,12,15,901,4/5,125000,111119,Q34O
182,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:34.457,866900000,12,15,1032,4/5,125000,111114,VtLc
183,"",[],34378,t,f,t,2020-04-14 20:58:34.842,866900000,12,15,1032,4/5,125000,111111,AzJn
184,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:36.586,866900000,12,15,1032,4/5,125000,111113,GVHs
185,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:40.382,866900000,12,15,901,4/5,125000,111116,GVHs
186,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:45.3,866900000,12,15,1032,4/5,125000,111114,T4FA
187,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:45.424,866900000,12,15,901,4/5,125000,111120,AorZ
188,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:46.434,866900000,12,15,901,4/5,125000,111113,T4FA
